epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,2704.53,0.61077,0.44477,0.92805,0.95601,0.95833,0.97572,0.51527,1.47105,0.75002,1.4669,0.0005084,0.0005084,0.0005084
115,2728.94,0.552,0.43967,0.90552,0.95563,0.95833,0.97988,0.53245,1.42645,0.72536,1.43288,0.0004952,0.0004952,0.0004952
116,2753.63,0.52573,0.43257,0.90563,0.93578,0.9375,0.97815,0.53609,1.3913,0.71598,1.40906,0.000482,0.000482,0.000482
117,2775.27,0.53553,0.40313,0.89774,0.9567,0.95833,0.97573,0.54149,1.37848,0.70594,1.38993,0.0004688,0.0004688,0.0004688
118,2799.83,0.53757,0.42711,0.88603,0.9567,0.95833,0.97573,0.54149,1.37848,0.70594,1.38993,0.0004556,0.0004556,0.0004556
119,2824.25,0.55279,0.43246,0.8975,0.95832,0.95808,0.9674,0.55191,1.37819,0.67175,1.38646,0.0004424,0.0004424,0.0004424
120,2845.81,0.53667,0.41304,0.88858,0.9583,0.95752,0.95345,0.53674,1.4119,0.6822,1.40864,0.0004292,0.0004292,0.0004292
121,2870.23,0.50038,0.41613,0.88638,0.95811,0.95319,0.94937,0.5354,1.43618,0.71072,1.42268,0.000416,0.000416,0.000416
122,2895.01,0.51904,0.40582,0.89204,0.91989,0.95687,0.94372,0.52401,1.42888,0.74179,1.40576,0.0004028,0.0004028,0.0004028
123,2919.89,0.55741,0.44046,0.91071,0.91915,0.95833,0.92518,0.51366,1.4551,0.72323,1.42783,0.0003896,0.0003896,0.0003896
124,2941.45,0.49728,0.4076,0.87883,0.91853,0.95833,0.91896,0.50248,1.44859,0.74192,1.40532,0.0003764,0.0003764,0.0003764
125,2965.69,0.52666,0.42431,0.88905,0.93519,0.95833,0.91915,0.50184,1.44954,0.79449,1.38162,0.0003632,0.0003632,0.0003632
126,2987.12,0.52493,0.40421,0.87848,0.93519,0.95833,0.91915,0.50184,1.44954,0.79449,1.38162,0.00035,0.00035,0.00035
127,3011.6,0.4983,0.40519,0.88647,0.93739,0.95833,0.91945,0.48911,1.4231,0.79481,1.38672,0.0003368,0.0003368,0.0003368
128,3036.1,0.48691,0.40204,0.87885,0.91783,0.95833,0.9194,0.49585,1.44013,0.78042,1.41742,0.0003236,0.0003236,0.0003236
129,3060.99,0.50103,0.39214,0.87863,0.90061,0.95833,0.9186,0.48356,1.44488,0.7769,1.42703,0.0003104,0.0003104,0.0003104
130,3082.42,0.49734,0.38145,0.88568,0.88103,0.95833,0.92509,0.50737,1.40979,0.76656,1.39082,0.0002972,0.0002972,0.0002972
131,3106.64,0.48454,0.37732,0.88279,0.91624,0.9375,0.932,0.51786,1.40763,0.75435,1.39158,0.000284,0.000284,0.000284
132,3131.35,0.47532,0.36959,0.87,0.90189,0.95761,0.94289,0.53956,1.39888,0.72007,1.38626,0.0002708,0.0002708,0.0002708
